symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2019-06-07 00:00:00+00:00,190.15,191.92,185.77,186.51,30684393,45.8789172468,46.3059784276,44.8221217825,45.0006671349,122737572,0.0,1.0
AAPL,2019-06-10 00:00:00+00:00,192.58,195.37,191.62,191.81,26220851,46.4652215797,47.1383858139,46.2335951766,46.2794379022,104883404,0.0,1.0
AAPL,2019-06-11 00:00:00+00:00,194.81,196.0,193.6,194.86,26932882,47.003270412,47.2903906409,46.7113246331,47.0153342872,107731528,0.0,1.0
AAPL,2019-06-12 00:00:00+00:00,194.19,195.97,193.39,193.95,18253189,46.85367836,47.2831523158,46.6606563574,46.7957717592,73012756,0.0,1.0
AAPL,2019-06-13 00:00:00+00:00,194.15,196.79,193.6,194.7,21674625,46.8440272599,47.4809998685,46.7113246331,46.9767298867,86698500,0.0,1.0
AAPL,2019-06-14 00:00:00+00:00,192.74,193.59,190.3,191.55,18761474,46.5038259803,46.708911858,45.9151088723,46.2167057514,75045896,0.0,1.0
AAPL,2019-06-17 00:00:00+00:00,193.89,194.96,192.17,192.9,14669144,46.781295109,47.0394620375,46.3662978034,46.5424303808,58676576,0.0,1.0
AAPL,2019-06-18 00:00:00+00:00,198.45,200.29,195.21,196.05,26551004,47.8815205239,48.3254711299,47.0997814133,47.3024545161,106204016,0.0,1.0
AAPL,2019-06-19 00:00:00+00:00,197.87,199.88,197.31,199.68,21124235,47.741579572,48.2265473536,47.6064641702,48.1782918529,84496940,0.0,1.0
AAPL,2019-06-20 00:00:00+00:00,199.46,200.61,198.03,200.37,21513988,48.1252108022,48.402679931,47.7801839726,48.3447733302,86055952,0.0,1.0
AAPL,2019-06-21 00:00:00+00:00,198.78,200.85,198.15,198.8,47800589,47.9611421,48.4605865318,47.8091372729,47.9659676501,191202356,0.0,1.0
AAPL,2019-06-24 00:00:00+00:00,198.58,200.16,198.17,198.54,18220421,47.9128865994,48.2941050545,47.813962823,47.9032354992,72881684,0.0,1.0
AAPL,2019-06-25 00:00:00+00:00,195.57,199.26,195.29,198.43,21070334,47.1866413145,48.0769553016,47.1190836136,47.8766949739,84281336,0.0,1.0
AAPL,2019-06-26 00:00:00+00:00,199.8,200.99,197.35,197.77,26067512,48.2072451533,48.4943653822,47.6161152703,47.7174518217,104270048,0.0,1.0
AAPL,2019-06-27 00:00:00+00:00,199.74,201.57,199.57,200.29,20899717,48.1927685031,48.6343063341,48.1517513276,48.3254711299,83598868,0.0,1.0
AAPL,2019-06-28 00:00:00+00:00,197.92,199.5,197.05,198.68,31110642,47.7536434472,48.1348619024,47.5437320193,47.9370143497,124442568,0.0,1.0
AAPL,2019-07-01 00:00:00+00:00,201.55,204.49,200.65,203.17,27316739,48.6294807841,49.3388366437,48.4123310311,49.0203503394,109266956,0.0,1.0
AAPL,2019-07-02 00:00:00+00:00,202.73,203.13,201.36,201.41,16935217,48.9141882379,49.0106992392,48.5836380584,48.5957019336,67740868,0.0,1.0
AAPL,2019-07-03 00:00:00+00:00,204.41,204.44,202.69,203.28,11362045,49.3195344434,49.3267727685,48.9045371378,49.0468908647,45448180,0.0,1.0
AAPL,2019-07-05 00:00:00+00:00,204.23,205.08,202.9,203.35,17265518,49.2761044928,49.4811903706,48.9552054135,49.0637802899,69062072,0.0,1.0
AAPL,2019-07-08 00:00:00+00:00,200.02,201.4,198.41,200.81,25338628,48.2603262041,48.5932891586,47.8718694238,48.4509354316,101354512,0.0,1.0
AAPL,2019-07-09 00:00:00+00:00,201.24,201.51,198.81,199.2,20578015,48.554684758,48.6198296839,47.9683804251,48.0624786514,82312060,0.0,1.0
AAPL,2019-07-10 00:00:00+00:00,203.23,203.73,201.56,201.85,17897138,49.0348269896,49.1554657412,48.6318935591,48.701864035,71588552,0.0,1.0
AAPL,2019-07-11 00:00:00+00:00,201.75,204.39,201.71,203.31,20191842,48.6777362847,49.3147088933,48.6680851846,49.0541291898,80767368,0.0,1.0
AAPL,2019-07-12 00:00:00+00:00,203.3,204.0,202.2,202.45,17595212,49.0517164148,49.2206106671,48.7863111612,48.846630537,70380848,0.0,1.0
AAPL,2019-07-15 00:00:00+00:00,205.21,205.87,204.0,204.09,16947420,49.512556446,49.6717995982,49.2206106671,49.2423256424,67789680,0.0,1.0
AAPL,2019-07-16 00:00:00+00:00,204.5,206.11,203.5,204.59,16866816,49.3412494187,49.729706199,49.0999719154,49.362964394,67467264,0.0,1.0
AAPL,2019-07-17 00:00:00+00:00,203.35,205.09,203.27,204.05,14107450,49.0637802899,49.4836031456,49.0444780897,49.2326745422,56429800,0.0,1.0
AAPL,2019-07-18 00:00:00+00:00,205.66,205.88,203.7,204.0,18582161,49.6211313225,49.6742123732,49.1482274161,49.2206106671,74328644,0.0,1.0
AAPL,2019-07-19 00:00:00+00:00,202.59,206.5,202.36,205.79,20929307,48.8804093875,49.8238044252,48.8249155617,49.6524973979,83717228,0.0,1.0
AAPL,2019-07-22 00:00:00+00:00,207.22,207.23,203.61,203.65,22277932,49.9975242276,49.9999370026,49.1265124408,49.1361635409,89111728,0.0,1.0
AAPL,2019-07-23 00:00:00+00:00,208.84,208.91,207.29,208.46,18355210,50.3883937829,50.4052832081,50.0144136528,50.2967083317,73420840,0.0,1.0
AAPL,2019-07-24 00:00:00+00:00,208.67,209.15,207.17,207.67,14991567,50.3473766073,50.4631898089,49.9854603524,50.1060991041,59966268,0.0,1.0
AAPL,2019-07-25 00:00:00+00:00,207.02,209.24,206.73,208.89,13909535,49.9492687269,50.4849047842,49.879298251,50.4004576581,55638140,0.0,1.0
AAPL,2019-07-26 00:00:00+00:00,207.74,209.73,207.14,207.48,17618874,50.1229885293,50.6031307608,49.9782220273,50.0602563785,70475496,0.0,1.0
AAPL,2019-07-29 00:00:00+00:00,209.68,210.64,208.44,208.46,21673389,50.5910668856,50.8226932888,50.2918827816,50.2967083317,86693556,0.0,1.0
AAPL,2019-07-30 00:00:00+00:00,208.78,210.16,207.31,208.76,33935718,50.3739171327,50.7068800872,50.0192392029,50.3690915826,135742872,0.0,1.0
AAPL,2019-07-31 00:00:00+00:00,213.04,221.37,211.3,216.42,69281361,51.4017592966,53.4116008989,50.9819364409,52.2172772577,277125444,0.0,1.0
AAPL,2019-08-01 00:00:00+00:00,208.43,218.03,206.74,213.9,54017922,50.2894700066,52.605734038,49.881711026,51.6092579494,216071688,0.0,1.0
AAPL,2019-08-02 00:00:00+00:00,204.02,206.43,201.63,205.53,40862122,49.2254362171,49.806915,48.6487829843,49.5897652471,163448488,0.0,1.0
AAPL,2019-08-05 00:00:00+00:00,193.34,198.65,192.58,197.99,52392969,46.6485924822,47.9297760246,46.4652215797,47.7705328724,209571876,0.0,1.0
AAPL,2019-08-06 00:00:00+00:00,197.0,198.07,194.04,196.31,35824787,47.5316681442,47.7898350727,46.8174867345,47.3651866669,143299148,0.0,1.0
AAPL,2019-08-07 00:00:00+00:00,199.04,199.56,193.82,195.41,33364400,48.0238742509,48.1493385526,46.7644056838,47.148036914,133457600,0.0,1.0
AAPL,2019-08-08 00:00:00+00:00,203.43,203.53,199.39,200.2,27009523,49.0830824902,49.1072102405,48.108321377,48.3037561546,108038092,0.0,1.0
AAPL,2019-08-09 00:00:00+00:00,200.99,202.76,199.29,201.3,24619746,48.6801490597,49.1088463275,48.2684059213,48.7552316321,98478984,0.77,1.0
AAPL,2019-08-12 00:00:00+00:00,200.48,202.05,199.15,199.62,22481889,48.5566261182,48.9368830167,48.2344976628,48.3483325305,89927556,0.0,1.0
AAPL,2019-08-13 00:00:00+00:00,208.97,212.14,200.48,201.02,47539786,50.6129197921,51.3806996444,48.5566261182,48.6874151151,190159144,0.0,1.0
AAPL,2019-08-14 00:00:00+00:00,202.75,206.44,202.59,203.16,36547443,49.106424309,50.0001491213,49.0676720136,49.2057270659,146189772,0.0,1.0
AAPL,2019-08-15 00:00:00+00:00,201.74,205.14,199.67,203.46,27883363,48.8618004444,49.6852867213,48.3604426228,49.2783876198,111533452,0.0,1.0
AAPL,2019-08-16 00:00:00+00:00,206.5,207.16,203.84,204.28,28813624,50.0146812321,50.1745344506,49.3704243213,49.4769931336,115254496,0.0,1.0
AAPL,2019-08-19 00:00:00+00:00,210.35,212.73,210.03,210.62,24431915,50.9471583398,51.5235987337,50.869653749,51.0125528383,97727660,0.0,1.0
AAPL,2019-08-20 00:00:00+00:00,210.36,213.35,210.32,210.88,26919529,50.9495803583,51.6737638783,50.9398922844,51.0755253183,107678116,0.0,1.0
AAPL,2019-08-21 00:00:00+00:00,212.64,213.65,211.6,212.99,21564747,51.5018005675,51.7464244321,51.2499106475,51.5865712137,86258988,0.0,1.0
AAPL,2019-08-22 00:00:00+00:00,212.46,214.44,210.75,213.19,22267819,51.4582042352,51.9377638906,51.0440390783,51.6350115829,89071276,0.0,1.0
AAPL,2019-08-23 00:00:00+00:00,202.64,212.05,201.0,209.43,46882843,49.0797821059,51.3589014783,48.6825710782,50.7243326413,187531372,0.0,1.0
AAPL,2019-08-26 00:00:00+00:00,206.49,207.19,205.06,205.86,26066130,50.0122592136,50.1818005059,49.6659105736,49.8596720505,104264520,0.0,1.0
AAPL,2019-08-27 00:00:00+00:00,204.16,208.55,203.53,207.86,25897344,49.4479289121,50.5111950167,49.295341749,50.3440757429,103589376,0.0,1.0
AAPL,2019-08-28 00:00:00+00:00,205.53,205.72,203.32,204.1,15957632,49.7797454413,49.8257637921,49.2444793613,49.4333968013,63830528,0.0,1.0
AAPL,2019-08-29 00:00:00+00:00,209.01,209.32,206.66,208.5,21007652,50.622607866,50.6976904383,50.0534335275,50.4990849244,84030608,0.0,1.0
AAPL,2019-08-30 00:00:00+00:00,208.74,210.45,207.2,210.16,21162561,50.5572133675,50.9713785244,50.1842225244,50.901139989,84650244,0.0,1.0
AAPL,2019-09-03 00:00:00+00:00,205.7,206.98,204.22,206.43,20059574,49.8209197552,50.1309381182,49.4624610228,49.9977271029,80238296,0.0,1.0
AAPL,2019-09-04 00:00:00+00:00,209.19,209.48,207.32,208.39,19216820,50.6662041983,50.7364427337,50.2132867459,50.4724427213,76867280,0.0,1.0
AAPL,2019-09-05 00:00:00+00:00,213.28,213.97,211.51,212.0,23946984,51.6568097491,51.8239290229,51.2281124814,51.346791386,95787936,0.0,1.0
AAPL,2019-09-06 00:00:00+00:00,213.26,214.42,212.51,214.05,19362294,51.6519657121,51.9329198537,51.4703143275,51.8433051706,77449176,0.0,1.0
AAPL,2019-09-09 00:00:00+00:00,214.17,216.44,211.07,214.84,27309401,51.8723693921,52.4221675829,51.121543669,52.0346446291,109237604,0.0,1.0
AAPL,2019-09-10 00:00:00+00:00,216.7,216.78,211.71,213.86,31777931,52.4851400629,52.5045162106,51.2765528506,51.7972868198,127111724,0.0,1.0
AAPL,2019-09-11 00:00:00+00:00,223.59,223.71,217.73,218.07,44289646,54.153910783,54.1829750045,52.7346079645,52.8169565922,177158584,0.0,1.0
AAPL,2019-09-12 00:00:00+00:00,223.09,226.42,222.86,224.8,32226669,54.0328098599,54.8393420076,53.9771034353,54.4469750168,128906676,0.0,1.0
AAPL,2019-09-13 00:00:00+00:00,218.75,220.79,217.02,220.0,39763296,52.9816538476,53.4757456137,52.5626446537,53.2844061553,159053184,0.0,1.0
AAPL,2019-09-16 00:00:00+00:00,219.9,220.13,217.56,217.73,21158141,53.2601859706,53.3158923953,52.6934336506,52.7346079645,84632564,0.0,1.0
AAPL,2019-09-17 00:00:00+00:00,220.7,220.82,219.12,219.96,18386468,53.4539474476,53.4830116691,53.0712685306,53.2747180814,73545872,0.0,1.0
AAPL,2019-09-18 00:00:00+00:00,222.77,222.85,219.44,221.06,25643093,53.9553052691,53.9746814168,53.1487731214,53.5411401122,102572372,0.0,1.0
AAPL,2019-09-19 00:00:00+00:00,220.96,223.76,220.37,222.01,22187876,53.5169199276,54.1950850968,53.3740208383,53.771231866,88751504,0.0,1.0
AAPL,2019-09-20 00:00:00+00:00,217.73,222.56,217.47,221.38,57977094,52.7346079645,53.9044428814,52.6716354845,53.618644703,231908376,0.0,1.0
AAPL,2019-09-23 00:00:00+00:00,218.72,219.84,217.65,218.95,19419648,52.9743877922,53.2456538599,52.7152318168,53.0300942168,77678592,0.0,1.0
AAPL,2019-09-24 00:00:00+00:00,217.68,222.49,217.19,221.03,31434367,52.7224978722,53.8874887522,52.6038189675,53.5338740568,125737468,0.0,1.0
AAPL,2019-09-25 00:00:00+00:00,221.03,221.5,217.14,218.55,22481006,53.5338740568,53.6477089245,52.5917088752,52.9332134783,89924024,0.0,1.0
AAPL,2019-09-26 00:00:00+00:00,219.89,220.94,218.83,220.0,19088312,53.2577639522,53.5120758906,53.0010299952,53.2844061553,76353248,0.0,1.0
AAPL,2019-09-27 00:00:00+00:00,218.82,220.96,217.28,220.54,25361285,52.9986079768,53.5169199276,52.6256171337,53.4151951522,101445140,0.0,1.0
AAPL,2019-09-30 00:00:00+00:00,223.97,224.58,220.79,220.9,26318583,54.2459474845,54.3936906107,53.4757456137,53.5023878168,105274332,0.0,1.0
AAPL,2019-10-01 00:00:00+00:00,224.59,228.22,224.2,225.07,36187163,54.3961126291,55.2753053307,54.3016539091,54.5123695153,144748652,0.0,1.0
AAPL,2019-10-02 00:00:00+00:00,218.96,223.58,217.93,223.06,35767257,53.0325162352,54.1514887645,52.7830483337,54.0255438045,143069028,0.0,1.0
AAPL,2019-10-03 00:00:00+00:00,220.82,220.96,215.13,218.43,30352686,53.4830116691,53.5169199276,52.1048831645,52.9041492568,121410744,0.0,1.0
AAPL,2019-10-04 00:00:00+00:00,227.01,227.49,223.89,225.64,34755553,54.9822410968,55.098497983,54.2265713368,54.6504245676,139022212,0.0,1.0
AAPL,2019-10-07 00:00:00+00:00,227.06,229.93,225.84,226.27,30889269,54.9943511891,55.6894704876,54.6988649368,54.8030117307,123557076,0.0,1.0
AAPL,2019-10-08 00:00:00+00:00,224.4,228.06,224.33,225.82,29282700,54.3500942784,55.2365530353,54.3331401491,54.6940208999,117130800,0.0,1.0
AAPL,2019-10-09 00:00:00+00:00,227.03,227.79,225.64,227.03,19029424,54.9870851338,55.1711585368,54.6504245676,54.9870851338,76117696,0.0,1.0
AAPL,2019-10-10 00:00:00+00:00,230.09,230.44,227.3,227.93,28962984,55.728222783,55.8129934292,55.0524796322,55.2050667953,115851936,0.0,1.0
AAPL,2019-10-11 00:00:00+00:00,236.21,237.64,232.31,232.95,41990210,57.2104980815,57.5568467215,56.2659108815,56.420920063,167960840,0.0,1.0
AAPL,2019-10-14 00:00:00+00:00,235.87,238.13,234.67,234.9,24413484,57.1281494538,57.6755256261,56.8375072384,56.893213663,97653936,0.0,1.0
AAPL,2019-10-15 00:00:00+00:00,235.32,237.65,234.88,236.39,23040483,56.9949384384,57.55926874,56.8883696261,57.2540944138,92161932,0.0,1.0
AAPL,2019-10-16 00:00:00+00:00,234.37,235.24,233.2,233.37,19286694,56.7648466846,56.9755622907,56.4814705246,56.5226448384,77146776,0.0,1.0
AAPL,2019-10-17 00:00:00+00:00,235.28,236.15,233.52,235.09,17272897,56.9852503646,57.1959659707,56.5589751153,56.9392320138,69091588,0.0,1.0
AAPL,2019-10-18 00:00:00+00:00,236.41,237.58,234.29,234.59,24248023,57.2589384507,57.5423146108,56.7454705369,56.8181310907,96992092,0.0,1.0
AAPL,2019-10-21 00:00:00+00:00,240.51,240.99,237.32,237.52,21811567,58.25196602,58.3682229062,57.4793421308,57.5277825,87246268,0.0,1.0
