symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2019-06-07 00:00:00+00:00,1066.04,1070.92,1048.4,1050.63,1802370,53.302,53.546,52.42,52.5315,36047400,0.0,1.0
GOOG,2019-06-10 00:00:00+00:00,1080.38,1092.66,1072.322,1072.98,1464248,54.019,54.633,53.6161,53.649,29284960,0.0,1.0
GOOG,2019-06-11 00:00:00+00:00,1078.72,1101.99,1077.603,1093.98,1437063,53.936,55.0995,53.88015,54.699,28741260,0.0,1.0
GOOG,2019-06-12 00:00:00+00:00,1077.03,1080.93,1067.54,1078.0,1061255,53.8515,54.0465,53.377,53.9,21225100,0.0,1.0
GOOG,2019-06-13 00:00:00+00:00,1088.77,1094.17,1080.15,1083.64,1058000,54.4385,54.7085,54.0075,54.182,21160000,0.0,1.0
GOOG,2019-06-14 00:00:00+00:00,1085.35,1092.69,1080.172,1086.42,1111643,54.2675,54.6345,54.0086,54.321,22232860,0.0,1.0
GOOG,2019-06-17 00:00:00+00:00,1092.5,1099.18,1086.28,1086.28,941602,54.625,54.959,54.314,54.314,18832040,0.0,1.0
GOOG,2019-06-18 00:00:00+00:00,1103.6,1116.39,1098.99,1109.69,1386684,55.18,55.8195,54.9495,55.4845,27733680,0.0,1.0
GOOG,2019-06-19 00:00:00+00:00,1102.33,1107.0,1093.48,1105.6,1339218,55.1165,55.35,54.674,55.28,26784360,0.0,1.0
GOOG,2019-06-20 00:00:00+00:00,1111.42,1120.12,1104.74,1119.99,1262011,55.571,56.006,55.237,55.9995,25240220,0.0,1.0
GOOG,2019-06-21 00:00:00+00:00,1121.88,1124.11,1108.08,1109.24,1947591,56.094,56.2055,55.404,55.462,38951820,0.0,1.0
GOOG,2019-06-24 00:00:00+00:00,1115.52,1122.0,1111.01,1119.61,1395696,55.776,56.1,55.5505,55.9805,27913920,0.0,1.0
GOOG,2019-06-25 00:00:00+00:00,1086.35,1114.35,1083.8,1112.66,1546913,54.3175,55.7175,54.19,55.633,30938260,0.0,1.0
GOOG,2019-06-26 00:00:00+00:00,1079.8,1092.97,1072.24,1086.5,1810869,53.99,54.6485,53.612,54.325,36217380,0.0,1.0
GOOG,2019-06-27 00:00:00+00:00,1076.01,1087.1,1075.29,1084.0,1004477,53.8005,54.355,53.7645,54.2,20089540,0.0,1.0
GOOG,2019-06-28 00:00:00+00:00,1080.91,1081.0,1073.37,1076.39,1693450,54.0455,54.05,53.6685,53.8195,33869000,0.0,1.0
GOOG,2019-07-01 00:00:00+00:00,1097.95,1107.58,1093.703,1098.0,1438504,54.8975,55.379,54.68515,54.9,28770080,0.0,1.0
GOOG,2019-07-02 00:00:00+00:00,1111.25,1111.77,1098.17,1102.24,991755,55.5625,55.5885,54.9085,55.112,19835100,0.0,1.0
GOOG,2019-07-03 00:00:00+00:00,1121.58,1126.76,1113.86,1117.41,767011,56.079,56.338,55.693,55.8705,15340220,0.0,1.0
GOOG,2019-07-05 00:00:00+00:00,1131.59,1132.88,1116.14,1117.8,1264540,56.5795,56.644,55.807,55.89,25290800,0.0,1.0
GOOG,2019-07-08 00:00:00+00:00,1116.35,1125.98,1111.21,1125.17,1236419,55.8175,56.299,55.5605,56.2585,24728380,0.0,1.0
GOOG,2019-07-09 00:00:00+00:00,1124.83,1128.025,1107.17,1111.8,1330370,56.2415,56.40125,55.3585,55.59,26607400,0.0,1.0
GOOG,2019-07-10 00:00:00+00:00,1140.48,1142.05,1130.97,1131.22,1209466,57.024,57.1025,56.5485,56.561,24189320,0.0,1.0
GOOG,2019-07-11 00:00:00+00:00,1144.21,1153.07,1139.58,1143.25,1195569,57.2105,57.6535,56.979,57.1625,23911380,0.0,1.0
GOOG,2019-07-12 00:00:00+00:00,1144.9,1147.34,1138.78,1143.99,863973,57.245,57.367,56.939,57.1995,17279460,0.0,1.0
GOOG,2019-07-15 00:00:00+00:00,1150.34,1150.82,1139.4,1146.86,903780,57.517,57.541,56.97,57.343,18075600,0.0,1.0
GOOG,2019-07-16 00:00:00+00:00,1153.58,1158.58,1145.0,1146.0,1238807,57.679,57.929,57.25,57.3,24776140,0.0,1.0
GOOG,2019-07-17 00:00:00+00:00,1146.35,1158.36,1145.77,1150.97,1170047,57.3175,57.918,57.2885,57.5485,23400940,0.0,1.0
GOOG,2019-07-18 00:00:00+00:00,1146.33,1147.605,1132.73,1141.74,1291281,57.3165,57.38025,56.6365,57.087,25825620,0.0,1.0
GOOG,2019-07-19 00:00:00+00:00,1130.1,1151.14,1129.62,1148.19,1647245,56.505,57.557,56.481,57.4095,32944900,0.0,1.0
GOOG,2019-07-22 00:00:00+00:00,1138.07,1139.25,1124.24,1133.45,1301846,56.9035,56.9625,56.212,56.6725,26036920,0.0,1.0
GOOG,2019-07-23 00:00:00+00:00,1146.21,1146.9,1131.8,1144.0,1093688,57.3105,57.345,56.59,57.2,21873760,0.0,1.0
GOOG,2019-07-24 00:00:00+00:00,1137.81,1144.0,1126.99,1131.9,1590101,56.8905,57.2,56.3495,56.595,31802020,0.0,1.0
GOOG,2019-07-25 00:00:00+00:00,1132.12,1141.7,1120.92,1137.82,2209881,56.606,57.085,56.046,56.891,44197620,0.0,1.0
GOOG,2019-07-26 00:00:00+00:00,1250.41,1265.55,1224.0,1224.04,4805752,62.5205,63.2775,61.2,61.202,96115040,0.0,1.0
GOOG,2019-07-29 00:00:00+00:00,1239.41,1247.37,1228.23,1241.05,2223731,61.9705,62.3685,61.4115,62.0525,44474620,0.0,1.0
GOOG,2019-07-30 00:00:00+00:00,1225.14,1234.87,1223.3,1225.41,1453263,61.257,61.7435,61.165,61.2705,29065260,0.0,1.0
GOOG,2019-07-31 00:00:00+00:00,1216.68,1234.0,1207.764,1223.0,1725454,60.834,61.7,60.3882,61.15,34509080,0.0,1.0
GOOG,2019-08-01 00:00:00+00:00,1209.01,1234.11,1205.72,1214.03,1698510,60.4505,61.7055,60.286,60.7015,33970200,0.0,1.0
GOOG,2019-08-02 00:00:00+00:00,1193.99,1206.9,1188.94,1200.74,1645067,59.6995,60.345,59.447,60.037,32901340,0.0,1.0
GOOG,2019-08-05 00:00:00+00:00,1152.32,1175.24,1140.14,1170.04,2597455,57.616,58.762,57.007,58.502,51949100,0.0,1.0
GOOG,2019-08-06 00:00:00+00:00,1169.95,1179.96,1160.0,1163.31,1709374,58.4975,58.998,58.0,58.1655,34187480,0.0,1.0
GOOG,2019-08-07 00:00:00+00:00,1173.99,1178.445,1149.624,1156.0,1444324,58.6995,58.92225,57.4812,57.8,28886480,0.0,1.0
GOOG,2019-08-08 00:00:00+00:00,1204.8,1205.01,1173.02,1182.83,1467997,60.24,60.2505,58.651,59.1415,29359940,0.0,1.0
GOOG,2019-08-09 00:00:00+00:00,1188.01,1203.88,1183.603,1197.99,1065658,59.4005,60.194,59.18015,59.8995,21313160,0.0,1.0
GOOG,2019-08-12 00:00:00+00:00,1174.71,1184.96,1167.672,1179.21,1003187,58.7355,59.248,58.3836,58.9605,20063740,0.0,1.0
GOOG,2019-08-13 00:00:00+00:00,1197.27,1204.78,1171.46,1171.46,1318009,59.8635,60.239,58.573,58.573,26360180,0.0,1.0
GOOG,2019-08-14 00:00:00+00:00,1164.29,1182.3,1160.54,1176.31,1578668,58.2145,59.115,58.027,58.8155,31573360,0.0,1.0
GOOG,2019-08-15 00:00:00+00:00,1167.26,1175.84,1162.11,1163.5,1224739,58.363,58.792,58.1055,58.175,24494780,0.0,1.0
GOOG,2019-08-16 00:00:00+00:00,1177.6,1182.72,1171.81,1179.55,1349436,58.88,59.136,58.5905,58.9775,26988720,0.0,1.0
GOOG,2019-08-19 00:00:00+00:00,1198.45,1206.99,1190.09,1190.09,1232517,59.9225,60.3495,59.5045,59.5045,24650340,0.0,1.0
GOOG,2019-08-20 00:00:00+00:00,1182.69,1196.06,1182.11,1195.25,915605,59.1345,59.803,59.1055,59.7625,18312100,0.0,1.0
GOOG,2019-08-21 00:00:00+00:00,1191.25,1199.0,1187.43,1193.15,741053,59.5625,59.95,59.3715,59.6575,14821060,0.0,1.0
GOOG,2019-08-22 00:00:00+00:00,1189.53,1198.012,1178.58,1194.07,947906,59.4765,59.9006,58.929,59.7035,18958120,0.0,1.0
GOOG,2019-08-23 00:00:00+00:00,1151.29,1194.08,1147.75,1181.99,1688271,57.5645,59.704,57.3875,59.0995,33765420,0.0,1.0
GOOG,2019-08-26 00:00:00+00:00,1168.89,1169.47,1152.96,1157.26,1226441,58.4445,58.4735,57.648,57.863,24528820,0.0,1.0
GOOG,2019-08-27 00:00:00+00:00,1167.84,1182.4,1161.45,1180.53,1077452,58.392,59.12,58.0725,59.0265,21549040,0.0,1.0
GOOG,2019-08-28 00:00:00+00:00,1171.02,1176.42,1157.3,1161.71,770915,58.551,58.821,57.865,58.0855,15418300,0.0,1.0
GOOG,2019-08-29 00:00:00+00:00,1192.85,1196.06,1181.12,1181.12,1088858,59.6425,59.803,59.056,59.056,21777160,0.0,1.0
GOOG,2019-08-30 00:00:00+00:00,1188.1,1198.5,1183.803,1198.5,1129959,59.405,59.925,59.19015,59.925,22599180,0.0,1.0
GOOG,2019-09-03 00:00:00+00:00,1168.39,1186.89,1163.2,1177.03,1480420,58.4195,59.3445,58.16,58.8515,29608400,0.0,1.0
GOOG,2019-09-04 00:00:00+00:00,1181.41,1183.48,1171.0,1176.71,1068968,59.0705,59.174,58.55,58.8355,21379360,0.0,1.0
GOOG,2019-09-05 00:00:00+00:00,1211.38,1213.04,1191.53,1191.53,1408601,60.569,60.652,59.5765,59.5765,28172020,0.0,1.0
GOOG,2019-09-06 00:00:00+00:00,1204.93,1212.015,1202.522,1208.13,1072143,60.2465,60.60075,60.1261,60.4065,21442860,0.0,1.0
GOOG,2019-09-09 00:00:00+00:00,1204.41,1220.0,1192.62,1204.0,1471880,60.2205,61.0,59.631,60.2,29437600,0.0,1.0
GOOG,2019-09-10 00:00:00+00:00,1206.0,1210.0,1194.58,1195.15,1260115,60.3,60.5,59.729,59.7575,25202300,0.0,1.0
GOOG,2019-09-11 00:00:00+00:00,1220.17,1222.6,1202.2,1203.41,1307033,61.0085,61.13,60.11,60.1705,26140660,0.0,1.0
GOOG,2019-09-12 00:00:00+00:00,1234.25,1241.86,1223.02,1224.3,1725908,61.7125,62.093,61.151,61.215,34518160,0.0,1.0
GOOG,2019-09-13 00:00:00+00:00,1239.56,1240.88,1227.01,1231.35,1301350,61.978,62.044,61.3505,61.5675,26027000,0.0,1.0
GOOG,2019-09-16 00:00:00+00:00,1231.3,1239.56,1225.61,1229.52,1053299,61.565,61.978,61.2805,61.476,21065980,0.0,1.0
GOOG,2019-09-17 00:00:00+00:00,1229.15,1235.0,1223.69,1230.4,958112,61.4575,61.75,61.1845,61.52,19162240,0.0,1.0
